number,stop,code,target_url,place_on_site,review_status
1,"Indra, Caught and Bound",indra-dyah,https://indrajatra.newaguthi.org.au/scan/indra-dyah,"God Indra Display",reviewed
2,"Swet Bhairab",swet-bhairab,https://indrajatra.newaguthi.org.au/scan/swet-bhairab,"Swet Bhairab",reviewed
3,"The Ganesh Chariot",ganesh-rath,https://indrajatra.newaguthi.org.au/scan/ganesh-rath,"Ganesh Rath",reviewed
4,"The Kumari Chariot",kumari-rath,https://indrajatra.newaguthi.org.au/scan/kumari-rath,"Kumari Rath",reviewed
5,"The Living Goddess",kumari,https://indrajatra.newaguthi.org.au/scan/kumari,"Kumari Rath",reviewed
6,"Lakhey, the Demon Who Changed Sides",lakhey,https://indrajatra.newaguthi.org.au/scan/lakhey,"Guest & MC Stage",reviewed
7,"Pulukisi, the Elephant Who Lost His Master",pulukisi,https://indrajatra.newaguthi.org.au/scan/pulukisi,"Cultural Display Line",reviewed
8,"Dhimey Baja",dhimey,https://indrajatra.newaguthi.org.au/scan/dhimey,"Guest & MC Stage",reviewed
9,"Bansuri and Bhusya",bansuri,https://indrajatra.newaguthi.org.au/scan/bansuri,"ANMC Building",reviewed
10,"Samay Baji",samay-baji,https://indrajatra.newaguthi.org.au/scan/samay-baji,"Samay Baji Display",reviewed
11,"What a Guthi Actually Is",newa-guthi,https://indrajatra.newaguthi.org.au/scan/newa-guthi,"ANMC Building",reviewed
12,"Why It Is Called Yenya",yenya-story,https://indrajatra.newaguthi.org.au/scan/yenya-story,"Guest & MC Stage",reviewed
